,NED_id,ra,dec,class
124,2MASX J04531656+2552432,73.31905,25.87864,j
125,MCG -03-13-023,73.57689,-18.92973,j
126,NGC 1692,73.84888000000001,-20.571089999999998,p
127,2MASX J04594407+0519427,74.93363000000001,5.32857,j
128,B2 0500+22,75.767,23.000329999999998,p
129,ARP 187,76.22105,-10.247910000000001,p
130,NGC 1792,76.31023,-37.98075,g
131,NGC 1808,76.92643000000001,-37.51305,g
132,PKS 0508-133,77.77002,-13.291870000000001,u
133,FAIRALL 0790,78.66450999999999,-49.05808,j
134,2MASX J05252717-3242157,81.36327,-32.70434,j
135,MCG -05-13-021,81.41098000000001,-31.552809999999997,j
136,2MASX J05295057+2154537,82.46072,21.914920000000002,j
137,2MASX J05325578+5523356,83.2324,55.393269999999994,j
138,PKS 0533-594,83.55328,-59.405330000000006,j
139,2MASX J05444416+1648501,86.18403,16.81393,j
140,CGCG 307-023,86.60249,63.3591,j
141,2MASX J05481986+4144473,87.08269,41.74647,j
142,ESO 363- G 027,87.11501,-32.97723,j
143,ESO 488- G 033,87.34015,-25.34655,j
144,ESO 424- G 027,87.70766,-31.74072,p
145,NGC 2110,88.04749,-7.4562,p
146,UGC 03374,88.72334000000001,46.43934,p
147,ESO 364- G 018,89.30229,-37.47681,p
148,2MASX J05581173+5328180,89.54904,53.47165,p
149,2MASX J06020973-3956597,90.54052,-39.949870000000004,j
150,PKS 0605-494,91.74198,-49.4934,j
151,2MASX J06093663+0729211,92.40273,7.48913,j
152,2MASX J06120351-3257472,93.01468,-32.96313,j
153,MCG +09-11-006,93.88911,51.979890000000005,j
154,UGC 03426,93.90173,71.03753,p
155,NGC 2207,94.09206,-21.37272,g
156,CGCG 308-017,94.17524,66.50671,p
157,2MASX J06181305-4844580,94.55431999999999,-48.74951,j
158,NGC 2146,94.65713000000001,78.35701999999999,g
159,ESO 365-IG 006 NED01,95.00407,-37.19481,j
160,PKS 0620-52,95.43043,-52.6926,j
161,2MASX J06230765-6436211,95.78201999999999,-64.60579,j
162,2MASX J06233595-6434413,95.89975,-64.5782,j
163,PKS 0625-545,96.7066,-54.54286999999999,j
164,ESO 489- G 057,96.71985,-24.6171,j
165,PKS 0625-35,96.77799,-35.4876,j
166,3C 162,97.84464,25.018520000000002,j
167,4C +26.23,98.89974000000001,26.27719,j
168,ESO 255- G 017,101.10458,-43.73016,j
169,ESO 161-IG 027 NED02,102.58959,-55.82574,j
170,B2 0647+28,102.62732,28.559559999999998,j
171,4C +15.18,102.74651,15.31376,j
172,IC 0450,103.05145999999999,74.42698,p
173,CGCG 204-027,103.79185,41.002790000000005,p
174,4C +42.22,104.04446999999999,42.61739,j
175,4C +23.18,105.37098999999999,23.22384,j
176,NGC 2325,105.66828999999998,-28.69725,p
177,CGCG 085-029,106.11981000000002,18.589489999999998,p
178,2MASX J07074155+3503309,106.92321000000001,35.0586,j
179,NGC 2329,107.28328,48.61554,j
180,PKS 0712-349,108.486,-35.023959999999995,p
181,B2 0713+36,109.15458999999998,36.70517,p
182,4C +53.16,109.17177,53.385940000000005,j
183,PKS 0715-36,109.28367,-36.36634,j
184,2MASX J07171670+4308491,109.31953999999999,43.14693,j
185,B3 0713+441,109.36107,44.08398,p
186,UGC 03787,109.48983999999999,9.68934,p
187,ESO 257- G 004,109.56081,-47.19231,j
188,2MASX J07193787+5526064,109.90782,55.435140000000004,j
189,PKS 0718-34,110.19823000000001,-34.11834,j
190,NGC 2276,111.80984,85.75455,g
191,2MASX J07280854-3641594,112.03571000000001,-36.699909999999996,j
192,2MASX J07331844-3654533,113.32696000000001,-36.914809999999996,j
193,CGCG 286-029,113.37456,57.7006,j
194,UGC 03927,114.3754,59.68421,p
195,CGCG 262-029,117.15347,55.81636999999999,j
196,B3 0749+460A,118.18421000000001,45.94932,j
197,2MASX J07545738-0222120,118.73908,-2.37003,u
198,NGC 2484,119.61712,37.78666,j
199,NGC 2496,119.65563,8.02968,j
200,ESO 060-IG 002 NED01,124.09518,-70.66105,j
201,CGCG 287-066,124.40091000000001,59.95378,j
202,2MASX J08180059-1613599,124.50249,-16.23335,p
203,PKS 0819-569,125.24493999999999,-57.09267,j
204,NGC 2616,128.89197,-1.8501,j
205,B2 0836+29,129.81595,28.84413,j
206,2MASX J08445266-1000590,131.21948,-10.01641,j
207,NGC 2663,131.28436000000002,-33.79476,j
208,PKS 0845-331,131.83234,-33.33357,j
209,NGC 2656,131.97136,53.87619,p
210,IC 2402,131.99605,31.78565,j
211,CGCG 332-026,133.32887,68.47191,j
212,CGCG 033-040,135.07565,7.7598199999999995,j
213,2MASX J09045929-1227444,136.24698999999998,-12.46241,j
214,2MASX J09074701-3535234,136.94585,-35.589859999999994,u
215,2MASX J09080217-0959378,137.00914,-9.99376,j
216,2MASX J09092633-0922471,137.35973,-9.37983,j
217,2MASX J09101737-0937068,137.57236,-9.61855,j
218,2MASX J09135500-1433516,138.47916999999998,-14.56429,u
219,Hydra A,139.52356,-12.09552,j
220,IC 2476,141.97008,29.98573,j
221,NGC 2903,143.04213000000001,21.50083,g
222,NGC 2892,143.22048999999998,67.6174,j
223,2MASX J09340714-3728078,143.52958999999998,-37.46885,j
224,2MASX J09383601-0420061,144.65005,-4.33509,j
225,ESO 373- G 018,144.99686,-33.11855,p
226,PKS 0940-304,145.60036000000002,-30.73615,j
227,NGC 2997,146.41163999999998,-31.191090000000003,g
228,NGC 2992,146.42519,-14.326360000000001,p
229,2MASX J09475094-3715272,146.96227,-37.257529999999996,j
230,MESSIER 082,148.96846000000002,69.6797,g
231,NGC 3078,149.60246,-26.9266,j
232,2MASX J09592102+0117518,149.83751999999998,1.29786,j
233,MCG -01-26-006,150.11287,-7.90385,j
234,NGC 3100,150.17016999999998,-31.66449,j
235,NGC 3079,150.49135,55.68,g
236,CGCG 266-018,151.21597,54.567890000000006,j
237,NGC 3119,151.7162,14.37357,j
238,MCG -01-26-026,152.14035,-4.47767,p
239,NGC 3256,156.96364,-43.90382,p
240,CGCG 009-062,157.54439,-3.16363,j
241,CGCG 290-048,158.24522,56.74823000000001,j
242,2MASX J10360578+0006068,159.02408,0.1019,j
243,PKS 1037+05,159.91142,5.175680000000001,j
244,CGCG 154-041 NED01,160.82779,31.51835,p
245,2MASX J10460990-2921094,161.54134,-29.35268,j
246,NGC 3343,161.5432,73.35307,j
247,PKS 1046-426,162.13397,-42.85773,p
248,CGCG 010-025,162.33807,-0.66805,j
249,MCG +09-18-041,162.94733,55.385709999999996,j
250,NGC 3504,165.79671000000002,27.9725,p
251,2MASX J11032753-4657471,165.86469,-46.96302,j
252,MRK 0421,166.11382,38.20885,j
253,CGCG 155-059,166.34505,30.161479999999997,j
254,NGC 3521,166.45247,-0.0359,g
255,NGC 3537A,167.11047,-10.256039999999999,p
256,2MASX J11095773-3732216,167.49053999999998,-37.53934,j
257,MESSIER 108,167.87903,55.674119999999995,g
258,LCRS B111020.1-120301,168.21149,-12.32253,j
259,CGCG 156-046 NED01,169.14418,29.2547,j
260,CGCG 156-060,169.74739,27.90195,j
261,IC 2722 NED01,169.93318,13.96395,j
262,NGC 3627,170.06261,12.99129,g
263,NGC 3628,170.07091,13.58949,g
264,ESO 377- G 046,171.47058,-35.39457,j
265,2MASX J11282461-1122184,172.10262,-11.371739999999999,j
266,NGC 3690,172.13052,58.561609999999995,p
267,4C -03.43,173.27127,-4.01321,j
268,IC 0708,173.49678,49.06204,j
269,IC 0711,173.69408,48.956070000000004,j
270,MRK 0180,174.11006,70.15751999999999,j
271,CGCG 268-067 NED01,174.78558,55.664590000000004,j
272,NGC 3801,175.07041999999998,17.72792,p
273,NGC 3862,176.27083000000002,19.60635,j
274,PKS 1142-341,176.33388,-34.4332,j
275,PKS 1144-327,176.63988,-33.00685,j
276,CGCG 186-048,176.84215,35.01873,p
277,NGC 3894,177.20985,59.41562,p
278,2MASX J11553166+5453565,178.88199,54.89898,j
279,MCG -01-31-001,179.20183,-4.09455,j
280,CGCG 292-057,179.77351000000002,58.34325,j
281,ARP 244,180.47154,-18.8772,g
282,MCG +09-20-071,180.77958999999998,51.67518,j
283,NGC 4061,181.00592,20.23227,j
284,NGC 4088,181.39246,50.53903,g
285,NGC 4102,181.59631000000002,52.71095,p
286,4C +22.33,181.63891999999998,22.2604,p
287,ESO 505- G 014,181.77185,-27.69632,j
288,UGC 07115,182.02316000000002,25.23728,j
289,NGC 4151,182.63608,39.40576,p
290,2MASX J12110780-4641240,182.7825,-46.68995,j
291,2MASX J12154383+1709178,183.9326,17.154889999999998,j
292,MESSIER 099,184.70677,14.41649,g
293,2MASX J12185235+0514443,184.71819,5.24564,p
294,MESSIER 106,184.74008,47.30372,g
295,UGC 7360,184.84691999999998,5.82471,j
296,NGC 4278,185.02841,29.2805,p
297,MESSIER 061,185.47896,4.47359,g
298,MESSIER 100,185.72874,15.822379999999999,g
299,MESSIER 084,186.26575,12.88696,j
300,NGC 4414,186.61293,31.22352,g
301,NGC 4410 NED02,186.62328,9.01927,j
302,NGC 4449,187.04633,44.09356,g
303,3C 273,187.27812,2.05233,j
304,MESSIER 049,187.44499,8.00041,j
305,2MASX J12295233+1140391,187.46806,11.67747,j
306,VPCX 29,187.55058,11.74488,p
307,NGC 4490,187.65153999999998,41.64363,g
308,MESSIER 087,187.70593,12.3911,j
309,PKS 1228-335,187.81439,-33.77355,j
310,MESSIER 088,187.99673,14.42041,g
311,IC 3557 NED01,189.03391000000002,16.64143,j
312,4C +18.35,190.25134,18.553910000000002,j
313,NGC 4631,190.53337,32.541509999999995,g
314,NGC 4666,191.28615,-0.46191000000000004,g
315,NGC 4696,192.20532,-41.31109,p
316,MESSIER 094,192.72145,41.12015,g
317,ESO 575- G 013,193.03496,-21.86511,j
318,2MASX J12525601-1520318,193.23346,-15.342229999999999,j
319,NGC 4760,193.28011999999998,-10.49428,j
320,ESO 443- G 004,193.59261,-29.012959999999996,j
321,2MASX J12543570-1234070,193.64874,-12.568610000000001,j
322,NGC 4801,193.65724,53.090030000000006,j
323,PKS 1252-441,193.7395,-44.415729999999996,j
324,UGC 08058,194.05971,56.87345,j
325,PKS 1254-30,194.34143,-30.363559999999996,j
326,NGC 4869,194.84727,27.911609999999996,j
327,2MASX J12594900-2539389,194.95415,-25.66078,j
328,ESO 443- G 024,195.2533,-32.44135,j
329,NGC 4945,196.36366,-49.4679,g
330,PKS 1305-315,196.97794,-31.7782,j
331,PKS 1308-441,197.84927,-44.37778,j
332,MESSIER 063,198.95553999999998,42.02929,g
333,CGCG 044-046,199.07089,7.046239999999999,j
334,VIII Zw 289 NOTES01,199.81908,-0.9170200000000001,j
335,NGC 5078,199.95851000000002,-27.410090000000004,p
336,NGC 5090,200.30356,-43.70469,j
337,MCG -03-34-064,200.60196000000002,-16.72844,p
338,NGC 5127,200.93747,31.565759999999997,j
339,NGC 5141,201.21438999999998,36.37854,j
340,Cen A,201.36565,-43.01871,j
341,ESO 509- G 003,201.54411000000002,-27.4274,j
342,2MASX J13264647-2707078,201.69371,-27.118909999999996,j
343,MESSIER 051a,202.46957,47.19526,g
344,2MASX J13322574-3308100,203.10728,-33.13604,u
345,NGC 5209,203.17723,7.32729,j
346,IC 4289,203.69919,-27.127090000000003,j
347,2MASX J13351273-1122361,203.80302,-11.37677,j
348,NGC 5232,204.03436000000002,-8.49774,j
349,IC 4296,204.16269,-33.96588,j
350,MESSIER 083,204.25383,-29.865759999999998,g
351,UGC 08669 NED01,205.45474,26.373559999999998,j
352,2MASX J13434918-1949278,205.95497,-19.82434,j
353,B3 1342+407,206.17303,40.46738,j
354,ESO 325- G 016,206.59991000000002,-37.97103,j
355,ESO 509- G 108,206.80067,-24.37294,j
356,CGCG 162-010,207.21877,26.592959999999998,p
357,UGC 08782,208.07411000000002,31.44619,j
358,MRK 0463E,209.01202,18.3719,p
359,ESO 510- G 023,209.31758,-25.39029,j
360,2MASX J13595556-1056266,209.98152000000002,-10.94078,j
361,MCG -02-36-002,210.42441000000002,-11.60697,j
362,NGC 5419,210.91154,-33.978390000000005,j
363,MRK 0668,211.75162999999998,28.45403,p
364,ESO 510- G 066,211.81485,-27.1582,j
365,IC 4374,211.87405,-27.017870000000002,p
366,NGC 5490,212.4888,17.545479999999998,j
367,ESO 271- G 020,212.62037999999998,-42.7821,j
368,NGC 5506,213.31208999999998,-3.20756,p
369,NGC 5532,214.2206,10.80737,j
370,PKS 1416-49,215.01541,-49.59509,p
371,CGCG 163-041,216.16887000000003,26.62511,j
372,CGCG 047-067,217.48076,7.25356,j
373,IC 4441,217.91092000000003,-43.418440000000004,g
374,2MASX J14401795+0556341,220.07487000000003,5.9427900000000005,j
375,ESO 327- G 009,220.39041,-37.91516,u
376,2MASX J14441768-4357434,221.07377999999997,-43.96202,j
377,IC 1065,222.33997000000002,63.270559999999996,p
378,NGC 5775,223.49016,3.54451,g
379,IC 4516,223.59776000000002,16.35524,j
380,PKS 1452-367,223.79012999999998,-36.91878,j
381,NGC 5782,223.98022000000003,11.8614,j
382,NGC 5793,224.85329,-16.69347,p
383,2MASX J15031519+3608520,225.8132,36.14774,j
384,CGCG 165-007,226.06607000000002,28.56975,j
385,2MASX J15061668-4325285,226.5696,-43.424640000000004,u
386,B2 1504+34 NED01,226.68536,34.47312,j
387,2MASX J15072530+0829446,226.85547000000003,8.49571,j
388,2MASX J15104145-4512216,227.67276,-45.20602,j
389,IC 1101,227.73375,5.7449,j
390,UGC 09756 NED02,227.86052,6.3491,j
391,2MASX J15144933+1017035,228.70562999999999,10.28426,j
392,2MASX J15161186-3819218,229.04951,-38.32278,j
393,CGCG 021-063,229.16756,0.25051999999999996,j
394,UGC 09799,229.18536,7.02164,j
395,AP Lib,229.42424,-24.37206,p
396,NGC 5903,229.65219,-24.06859,g
397,CGCG 049-138,230.34389,4.34174,j
398,IC 1143,232.7345,82.45585,j
399,ARP 220,233.73862999999997,23.50291,p
400,NGC 5972,234.7256,17.026220000000002,j
401,CGCG 050-083,235.89139,4.87199,p
402,PKS 1553-328,239.17328999999998,-33.0386,j
403,CGCG 275-016,239.33905,54.67116,j
404,NGC 6048,239.37575,70.68913,j
405,2MASX J15582195-1409585,239.59146,-14.1663,p
406,MCG +10-23-012,239.75703,59.40606,p
407,NGC 6034,240.88365,17.198620000000002,j
408,NGC 6051,241.23622000000003,23.93283,j
409,NGC 6047,241.28751,17.72993,p
410,NGC 6061,241.5667,18.249879999999997,j
411,IC 4590,242.08815,28.478740000000002,j
412,2MASX J16103572-0511173,242.64885,-5.18808,j
413,2MASX J16174059+3500154,244.41904,35.00427,j
414,2MASX J16190828-0304316,244.78461000000001,-3.0754799999999998,j
415,2MASX J16230308+3755204,245.76292,37.92236,j
416,2MASX J16263817-3633198,246.65906,-36.555479999999996,j
417,MRK 1498,247.01692000000003,51.7754,j
418,2MASX J16283827+3933049,247.15945,39.55135,j
419,NGC 6251,248.13273999999998,82.53791,j
420,2MASX J16390277-6505079,249.76155,-65.08545,j
421,2MASX J16393265+5346437,249.88596,53.77881,j
422,2MASX J16441613-7715491,251.06717000000003,-77.26359000000001,j
423,2MASX J16452053-7335141,251.33553999999998,-73.58723,p
424,2MASX J16503901+1200274,252.66261,12.0077,j
425,UGC 10638 NED05,252.74521000000001,81.57473,j
426,NGC 6240,253.24535,2.40102,p
427,2MASX J16535220+3945369,253.46756000000002,39.76019,p
428,2MASX J16535808-0510173,253.49202999999997,-5.17151,j
429,2MASX J16582659-6116553,254.61082000000002,-61.28204,j
430,2MASX J17004523+3008129,255.18846000000002,30.136940000000003,j
431,2MASX J17050125-2445099,256.25527999999997,-24.75273,j
432,NGC 6303,256.26135,68.82751999999999,j
433,2MASX J17052935+2216075,256.37225,22.26876,j
434,2MASX J17053973-1450498,256.41556,-14.84714,j
435,2MASX J17090816+0923583,257.28412000000003,9.39945,j
436,2MASX J17092831-2226505,257.36795,-22.447370000000003,j
437,CGCG 252-023,257.74335,46.40585,j
438,2MASX J17115542-2309423,257.9809,-23.16181,j
439,2MASX J17124278-2435477,258.17828,-24.596629999999998,j
