,NED_id,ra,dec,class
544,UGC 12127,339.62277,35.32798,j
545,PKS 2236-17,339.79739,-17.34119,j
546,ESO 290- G 004,340.65927,-42.909009999999995,j
547,2MASX J22425137-1657082,340.71398999999997,-16.95232,j
548,PKS 2243-179,341.49582000000004,-17.62566,p
549,ESO 346- G 003,342.34439,-37.471779999999995,j
550,4C +37.66,342.85205,38.22811,j
551,2MASX J22515859+1718147,342.9942,17.30405,j
552,IC 1459,344.29453,-36.46248,j
553,UGC 12390,347.24271,23.36684,j
554,NGC 7503,347.67602999999997,7.56763,j
555,ESO 291- G 009,348.49432,-42.72756,p
556,NGC 7552,349.04486,-42.58483,p
557,B2 2315+34,349.45679,34.397420000000004,j
558,LCRS B231511.1-422958,349.48486,-42.22595,j
559,NGC 7582,349.59842000000003,-42.37057,g
560,MCG -07-47-031,349.7746,-42.113479999999996,j
561,NGC 7626,350.17722000000003,8.217,j
562,CGCG 454-057,350.83472,20.5899,j
563,2MASX J23272195+1524375,351.84148999999996,15.4104,j
564,NGC 7674,351.98627,8.779,p
565,PKS 2333-327,354.03,-32.509,j
566,NGC 7720 NED01,354.62241,27.031370000000003,j
567,NGC 7728,355.00342,27.13372,j
568,MCG -05-55-032,355.37415,-29.320809999999998,j
569,2MASX J23470479+5142179,356.77008,51.70497,j
570,CGCG 498-038,358.93427,30.212259999999997,p
571,ESO 349- G 010,359.25293,-34.759190000000004,j
572,V Zw 442 NOTES01,359.36646,47.87019,j
573,CGCG 548-018,359.37482,47.439370000000004,j
574,2MASX J23595879+0042066,359.995,0.7017899999999999,j
